@RELATION user-movie

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE splitLabel STRING


@DATA
196,242,3,881250949,Validate
186,302,3,891717742,Test
22,377,1,878887116,Test
244,51,2,880606923,Train
166,346,1,886397596,Validate
298,474,4,884182806,Validate
115,265,2,881171488,Train
253,465,5,891628467,Validate
305,451,3,886324817,Test
6,86,3,883603013,Test
62,257,2,879372434,Train
286,1014,5,879781125,Test
200,222,5,876042340,Validate
210,40,3,891035994,Test
224,29,3,888104457,Validate
303,785,3,879485318,Test
122,387,5,879270459,Validate
194,274,2,879539794,Train
291,1042,4,874834944,Validate
234,1184,2,892079237,Validate
119,392,4,886176814,Train
167,486,4,892738452,Train
299,144,4,877881320,Train
291,118,2,874833878,Validate
308,1,4,887736532,Test
95,546,2,879196566,Train
38,95,5,892430094,Validate
102,768,2,883748450,Validate
63,277,4,875747401,Validate
160,234,5,876861185,Validate
50,246,3,877052329,Train
301,98,4,882075827,Train
225,193,4,879539727,Validate
290,88,4,880731963,Test
97,194,3,884238860,Validate
157,274,4,886890835,Test
181,1081,1,878962623,Train
278,603,5,891295330,Test
276,796,1,874791932,Train
7,32,4,891350932,Validate
10,16,4,877888877,Train
284,304,4,885329322,Test
201,979,2,884114233,Validate
276,564,3,874791805,Validate
287,327,5,875333916,Train
246,201,5,884921594,Validate
242,1137,5,879741196,Test
249,241,5,879641194,Test
99,4,5,886519097,Validate
178,332,3,882823437,Validate
251,100,4,886271884,Validate
81,432,2,876535131,Test
260,322,4,890618898,Test
25,181,5,885853415,Test
59,196,5,888205088,Train
72,679,2,880037164,Train
87,384,4,879877127,Validate
290,143,5,880474293,Validate
42,423,5,881107687,Train
292,515,4,881103977,Validate
115,20,3,881171009,Test
20,288,1,879667584,Test
201,219,4,884112673,Test
13,526,3,882141053,Train
246,919,4,884920949,Validate
138,26,5,879024232,Train
167,232,1,892738341,Validate
60,427,5,883326620,Validate
57,304,5,883698581,Validate
223,274,4,891550094,Validate
189,512,4,893277702,Test
243,15,3,879987440,Validate
92,1049,1,890251826,Test
246,416,3,884923047,Train
194,165,4,879546723,Train
241,690,2,887249482,Validate
178,248,4,882823954,Test
254,1444,3,886475558,Test
293,5,3,888906576,Train
127,229,5,884364867,Validate
225,237,5,879539643,Train
299,229,3,878192429,Test
225,480,5,879540748,Test
276,54,3,874791025,Train
291,144,5,874835091,Train
222,366,4,878183381,Validate
267,518,5,878971773,Train
42,403,3,881108684,Validate
11,111,4,891903862,Test
95,625,4,888954412,Validate
8,338,4,879361873,Validate
162,25,4,877635573,Test
87,1016,4,879876194,Test
279,154,5,875296291,Test
145,275,2,885557505,Validate
119,1153,5,874781198,Validate
62,498,4,879373848,Test
62,382,3,879375537,Train
28,209,4,881961214,Test
135,23,4,879857765,Train
32,294,3,883709863,Train
90,382,5,891383835,Train
286,208,4,877531942,Validate
293,685,3,888905170,Train
216,144,4,880234639,Test
166,328,5,886397722,Test
250,496,4,878090499,Test
271,132,5,885848672,Test
160,174,5,876860807,Validate
265,118,4,875320714,Validate
198,498,3,884207492,Validate
