17/03/26 15:50:39 INFO test_all_ranking_pure: ********************************************************************************
17/03/26 15:50:39 INFO test_all_ranking_pure: Begin

17/03/26 15:50:39 INFO test_all_ranking_pure: 
rec.iterator.learnrate=0.01
rec.eval.classes=auc
rec.learnrate.decay=1.0
rec.iterator.maximum=100
rec.iterator.learnrate.maximum=0.01
rec.item.regularization=0.1
rec.recommender.ranking.topn=10
rec.random.seed=1
rec.recommender.isranking=true
rec.recommender.class=listwisemf
rec.learnrate.bolddriver=false
rec.factor.number=10
rec.eval.enable=true
rec.user.regularization=0.1

17/03/26 15:50:39 INFO TextDataConvertor: Dataset: ...librec/data/movielens/ml-100k-split
17/03/26 15:50:39 INFO TextDataConvertor: All dataset files [E:\Users\v-fuz\tools\recommender_system\librec_sourcecode\librec\data\movielens\ml-100k-split\uniform_negsample.txt]
17/03/26 15:50:39 INFO TextDataConvertor: All dataset files size 6153533
17/03/26 15:50:39 INFO TextDataConvertor: Now loading dataset file uniform_negsample
17/03/26 15:50:41 INFO TextDataModel: Transform data to Convertor successfully!
17/03/26 15:50:41 INFO TextDataModel: Split data to train Set and test Set successfully!
17/03/26 15:50:41 INFO TextDataModel: Data size of training is 80003
17/03/26 15:50:41 INFO TextDataModel: Data size of testing is 10001
17/03/26 15:50:42 INFO ListRankMFRecommender: Job Setup completed.
17/03/26 15:50:42 INFO ListRankMFRecommender:  iter 1: loss = 4423.37879739406, delta_loss = 6.48131800536612
17/03/26 15:50:42 INFO ListRankMFRecommender:  iter 2: loss = 4410.48082103974, delta_loss = 12.897976354320235
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 3: loss = 4384.94184066784, delta_loss = 25.538980371899925
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 4: loss = 4334.87855139041, delta_loss = 50.06328927742925
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 5: loss = 4238.706702733005, delta_loss = 96.17184865740546
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 6: loss = 4061.3784930108873, delta_loss = 177.32820972211766
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 7: loss = 3760.7947752404043, delta_loss = 300.58371777048296
17/03/26 15:50:43 INFO ListRankMFRecommender:  iter 8: loss = 3334.451155581157, delta_loss = 426.34361965924745
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 9: loss = 2931.55130958756, delta_loss = 402.89984599359695
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 10: loss = 2806.0613588652823, delta_loss = 125.48995072227763
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 11: loss = 2805.986220891135, delta_loss = 0.07513797414731016
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 12: loss = 2805.9861776024063, delta_loss = 4.328872864789446E-5
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 13: loss = 2805.986177579581, delta_loss = 2.2825133783044294E-8
17/03/26 15:50:44 INFO ListRankMFRecommender:  iter 14: loss = 2805.986177579581, delta_loss = 0.0
17/03/26 15:50:45 INFO ListRankMFRecommender:  iter 15: loss = 2805.9861775795807, delta_loss = 4.547473508864641E-13
17/03/26 15:50:45 INFO ListRankMFRecommender:  iter 16: loss = 2805.9861775795807, delta_loss = 0.0
17/03/26 15:50:45 INFO ListRankMFRecommender:  iter 17: loss = 2805.9861775795807, delta_loss = 0.0
17/03/26 15:50:45 INFO ListRankMFRecommender:  iter 18: loss = 2805.9861775795807, delta_loss = 0.0
17/03/26 15:50:45 INFO ListRankMFRecommender:  iter 19: loss = 2805.9861775795725, delta_loss = 8.185452315956354E-12
17/03/26 15:50:46 INFO ListRankMFRecommender:  iter 20: loss = 2805.9861775795684, delta_loss = 4.092726157978177E-12
17/03/26 15:50:46 INFO ListRankMFRecommender:  iter 21: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:47 INFO ListRankMFRecommender:  iter 22: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:47 INFO ListRankMFRecommender:  iter 23: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:47 INFO ListRankMFRecommender:  iter 24: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:48 INFO ListRankMFRecommender:  iter 25: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:48 INFO ListRankMFRecommender:  iter 26: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:48 INFO ListRankMFRecommender:  iter 27: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:48 INFO ListRankMFRecommender:  iter 28: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:48 INFO ListRankMFRecommender:  iter 29: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:49 INFO ListRankMFRecommender:  iter 30: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:49 INFO ListRankMFRecommender:  iter 31: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:50 INFO ListRankMFRecommender:  iter 32: loss = 2805.9861775795684, delta_loss = 0.0
17/03/26 15:50:50 INFO ListRankMFRecommender:  iter 33: loss = 2805.9861775795684, delta_loss = 0.0
